,polarity,tweet,nltk_texts,predicted
0,neutral,accord run company plan move production russia although company grow,"<Text: According to Gran , the company has no...>",neut
1,neutral,technopoli plan develop stage area less square peter order host company work computer technology telecommunication statement say,<Text: Technopolis plans to develop in stages an area...>,neut
2,negative,international electronic industry company elcoteq lay ten employee talk facility contrary early layoff company contract rank office worker daily postimee report,<Text: The international electronic industry company Elcoteq has laid...>,neut
3,positive,new production plant company would increase capacity meet expect increase demand would improve use raw material therefore increase production profitability,<Text: With the new production plant the company would...>,neut
4,positive,accord company s update strategy year aware target longterm net sale growth range operate profit margin net sale,<Text: According to the company 's updated strategy for...>,neg
5,positive,finance aspocomp s growth aspocomp aggressive pursue growth strategy increasingly rouse technological demanding hide print circuit board pus,<Text: FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively...>,neut
6,positive,last quarter component s net sale double our our period year early move zero pretax profit pretax loss our,"<Text: For the last quarter of 2010 , Componenta...>",neg
7,positive,third quarter net sale increase our in operating profit our in,"<Text: In the third quarter of 2010 , net...>",neg
8,positive,operating profit rise our in our in correspond period represent net sale,<Text: Operating profit rose to EUR 13.1 mn from...>,neut
9,positive,operating profit total our in our in represent net sale,"<Text: Operating profit totalled EUR 21.1 mn , up...>",neg
10,positive,teliasonera then say offer line strategy increase ownership core business holding would strengthen west telekom s offer customer,<Text: TeliaSonera TLSN said the offer is in line...>,neut
11,positive,story endo horse so mreal upkymmene credit cuisse first boston case raise fair value share four large sordid forestry group,"<Text: STORA ENSO , NORSKE SKOG , M-REAL ,...>",neut
12,positive,purchase agreement ton gasoline delivery lamina terminal finland sign nest oil of average plate index september plus eight us dollar per month,"<Text: A purchase agreement for 7,200 tons of gasoline...>",neut
13,positive,finnish talent report operate profit increase our in our in net sale total our in our in,<Text: Finnish Talentum reports its operating profit increased to...>,neut
14,positive,clothing retail chain septllæ s sale increase our in operating profit rise our in our in,<Text: Clothing retail chain Sepp+Æl+Æ 's sales increased by...>,neut
15,positive,consolidated net sale increase reach our operating profit amount our compare loss our prior year period,<Text: Consolidated net sales increased 16 % to reach...>,neg
16,positive,foundry division report sale increase our in our in correspond period sale machine shop division increase our in our in correspond period,<Text: Foundries division reports its sales increased by 9.7...>,neut
17,positive,helsinki ax share close high lead nikita announce plan team santo manufacture g handy notion type fourthquarter earning report beat analysis expectation dealer say,<Text: HELSINKI ( AFX ) - Shares closed higher...>,neut
18,positive,cap contract manufacture service put ltd subsidiary cap corporation finland plan double revenue,"<Text: Incap Contract Manufacturing Services Pvt Ltd , a...>",neg
19,positive,board director propose dividend our per share our per share pay,<Text: Its board of directors will propose a dividend...>,neut
20,positive,lifetime found revenue rise average margin late s,"<Text: Lifetree was founded in 2000 , and its...>",neg
21,positive,filippova bilateral agreement investment construction technology park st petersburg sign course forum day russian economy open helsinki today,<Text: ( Filippova ) A trilateral agreement on investment...>,neg
22,positive,megafon s subscribe base increase million user december market share number customer amount late late accord teliasonera estimate,<Text: MegaFon 's subscriber base increased 16.1 % in...>,neg
23,positive,net income life insurance double our in our in net income nonlife insurance rise our in our in correspond period,<Text: Net income from life insurance doubled to EUR...>,neut
24,positive,net sale increase our our pretty profit rise our our we,<Text: Net sales increased to EUR193 .3 m from...>,neg
25,positive,net sale urge our delete say our sale come acquisition make,<Text: Net sales surged by 18.5 % to EUR167...>,neg
26,positive,order group s operating profit increase percent yearonyear billion europe total revenue percent billion europe,<Text: Nordea Group 's operating profit increased in 2010...>,neg
27,positive,operate profit ninemonth period increase our net sale increase our compare corresponding period,<Text: Operating profit for the nine-month period increased from...>,neg
28,positive,operate profit threemonth period increase our revenue increase our compare corresponding period,<Text: Operating profit for the three-month period increased from...>,neg
29,positive,brazilian unit finnish security solution provider fsecure sign new client last year online news source seller web quote division s commercial director vladimir brandto say,<Text: The Brazilian unit of Finnish security solutions provider...>,neut
30,positive,company s net profit rise year million europe sales million europe year company say early,<Text: The company 's net profit rose 11.4 %...>,neg
31,positive,lithuania beer market make million liner january rise percent yearearlier figure lithuania brewery association report bite result member,<Text: The Lithuanian beer market made up 14.41 million...>,neg
32,positive,like line s cargo revenue increase our in cargo volume increase cargo unit,<Text: Viking Line 's cargo revenue increased by 5.4...>,neut
